"A1-T0-C_S3_L001"	"A1-T0-J_S1_L001"	"A1-T17-C_S87_L001"	"A1-T17-I_S86_L001"	"A1-T17-J_S85_L001"	"A1-T9-C_S24_L001"	"A1-T9-I_S23_L001"	"A1-T9-J_S22_L001"	"A2-T0-C_S6_L001"	"A2-T0-I_S5_L001"	"A2-T0-J_S4_L001"	"A2-T17-C_S90_L001"	"A2-T17-I_S89_L001"	"A2-T17-J_S88_L001"	"A2-T9-C_S27_L001"	"A2-T9-I_S26_L001"	"A2-T9-J_S25_L001"	"A3-T17-C_S93_L001"	"A3-T17-I_S92_L001"	"A3-T17-J_S91_L001"	"A3-T9-C_S30_L001"	"A3-T9-I_S29_L001"	"A3-T9-J_S28_L001"	"A4-T17-C_S96_L001"	"A4-T17-I_S95_L001"	"A4-T17-J_S94_L001"	"A4-T9-C_S33_L001"	"A4-T9-I_S32_L001"	"A4-T9-J_S31_L001"	"A5-T17-C_S99_L001"	"A5-T17-I_S98_L001"	"A5-T17-J_S97_L001"	"A5-T9-C_S36_L001"	"A5-T9-I_S35_L001"	"A5-T9-J_S34_L001"	"A6-T17-C_S102_L001"	"A6-T17-I_S101_L001"	"A6-T17-J_S100_L001"	"A6-T9-C_S39_L001"	"A6-T9-I_S38_L001"	"A6-T9-J_S37_L001"	"A7-T17-C_S105_L001"	"A7-T17-I_S104_L001"	"A7-T17-J_S103_L001"	"A7-T9-C_S42_L001"	"A7-T9-I_S41_L001"	"A7-T9-J_S40_L001"	"B1-T0-C_S9_L001"	"B1-T0-I_S8_L001"	"B1-T0-J_S7_L001"	"B1-T17-C_S108_L001"	"B1-T17-I_S107_L001"	"B1-T17-J_S106_L001"	"B1-T9-C_S45_L001"	"B1-T9-I_S44_L001"	"B1-T9-J_S43_L001"	"B2-T0-C_S12_L001"	"B2-T0-I_S11_L001"	"B2-T0-J_S10_L001"	"B2-T17-C_S111_L001"	"B2-T17-I_S110_L001"	"B2-T17-J_S109_L001"	"B2-T9-C_S48_L001"	"B2-T9-I_S47_L001"	"B2-T9-J_S46_L001"	"B3-T0-C_S15_L001"	"B3-T0-I_S14_L001"	"B3-T0-J_S13_L001"	"B3-T17-C_S114_L001"	"B3-T17-I_S113_L001"	"B3-T17-J_S112_L001"	"B3-T9-C_S51_L001"	"B3-T9-I_S50_L001"	"B3-T9-J_S49_L001"	"B4-T17-C_S117_L001"	"B4-T17-I_S116_L001"	"B4-T17-J_S115_L001"	"B4-T9-C_S54_L001"	"B4-T9-I_S53_L001"	"B4-T9-J_S52_L001"	"B5-T17-C_S120_L001"	"B5-T17-I_S119_L001"	"B5-T17-J_S118_L001"	"B5-T9-C_S57_L001"	"B5-T9-I_S56_L001"	"B5-T9-J_S55_L001"	"B6-T17-C_S123_L001"	"B6-T17-I_S122_L001"	"B6-T17-J_S121_L001"	"B6-T9-C_S60_L001"	"B6-T9-I_S59_L001"	"B6-T9-J_S58_L001"	"B7-T17-C_S126_L001"	"B7-T17-I_S125_L001"	"B7-T17-J_S124_L001"	"B7-T9-C_S63_L001"	"B7-T9-I_S62_L001"	"B7-T9-J_S61_L001"	"C1-T0-C_S18_L001"	"C1-T0-I_S17_L001"	"C1-T0-J_S16_L001"	"C1-T17-C_S129_L001"	"C1-T17-I_S128_L001"	"C1-T17-J_S127_L001"	"C1-T9-C_S66_L001"	"C1-T9-I_S65_L001"	"C1-T9-J_S64_L001"	"C2-T0-C_S21_L001"	"C2-T0-J_S19_L001"	"C2-T17-C_S132_L001"	"C2-T17-I_S131_L001"	"C2-T17-J_S130_L001"	"C2-T9-C_S69_L001"	"C2-T9-I_S68_L001"	"C2-T9-J_S67_L001"	"C3-T17-C_S135_L001"	"C3-T17-I_S134_L001"	"C3-T17-J_S133_L001"	"C3-T9-C_S72_L001"	"C3-T9-I_S71_L001"	"C3-T9-J_S70_L001"	"C4-T17-C_S138_L001"	"C4-T17-I_S137_L001"	"C4-T17-J_S136_L001"	"C4-T9-C_S75_L001"	"C4-T9-I_S74_L001"	"C4-T9-J_S73_L001"	"C5-T17-C_S141_L001"	"C5-T17-I_S140_L001"	"C5-T17-J_S139_L001"	"C5-T9-C_S78_L001"	"C5-T9-I_S77_L001"	"C5-T9-J_S76_L001"	"C6-T17-C_S144_L001"	"C6-T17-I_S143_L001"	"C6-T17-J_S142_L001"	"C6-T9-C_S81_L001"	"C6-T9-I_S80_L001"	"C6-T9-J_S79_L001"	"C7-T17-C_S147_L001"	"C7-T17-I_S146_L001"	"C7-T17-J_S145_L001"	"C7-T9-C_S84_L001"	"C7-T9-I_S83_L001"	"C7-T9-J_S82_L001"
"Cluster_125"	221	2	24	0	0	31	0	0	129	1	0	0	0	0	45	0	0	1	0	0	5	0	0	1	0	0	44	0	0	0	0	0	19	0	0	2	0	0	2	0	0	75	0	0	7	0	0	269	1	0	8	0	0	12	0	0	225	2	0	11	0	0	14	0	0	398	7	0	1	0	0	10	0	0	11	0	0	8	0	0	1	0	0	4	0	0	9	0	0	10	0	0	0	0	0	12	0	0	117	1	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_27"	233	2	211	0	0	71	0	0	157	0	0	596	0	0	190	0	0	60	0	0	243	0	0	369	0	0	166	0	0	216	0	1	290	0	0	63	0	2	614	0	0	171	0	0	594	0	0	85	2	1	195	0	0	478	0	0	90	0	5	361	1	0	457	0	0	251	17	0	327	0	1	396	0	1	122	0	0	404	0	0	229	0	0	101	0	0	565	0	0	280	2	0	144	0	0	310	0	0	195	0	5	0	0	0	24	0	0	139	1	5	0	0	110	0	0	94	0	0	198	1	0	0	0	0	8	0	0	48	0	0	70	0	0	229	0	0	117	0	0	49	0	0	55	0	0
"Cluster_54"	65	0	51	0	0	19	0	0	54	0	0	139	0	0	37	0	0	13	0	0	58	0	0	79	0	0	44	0	0	49	1	0	85	0	0	9	0	0	148	0	0	54	0	0	154	0	0	24	1	0	51	0	0	122	0	0	23	0	1	78	0	0	109	0	0	60	15	0	76	0	0	108	0	0	33	0	0	99	0	0	55	0	0	22	0	0	133	0	0	65	0	0	31	0	0	75	0	0	51	0	1	0	0	0	3	0	0	32	0	3	0	0	19	0	0	24	0	0	51	0	0	0	0	0	3	1	0	15	0	0	13	0	0	62	0	0	27	0	0	10	0	0	14	0	0
"Cluster_118"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1122	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster_45"	9	0	45	0	0	64	0	0	89	0	0	124	0	0	113	0	0	47	0	0	102	1	0	2	0	0	89	1	0	25	0	0	10	0	0	15	0	0	2	0	1	18	0	0	0	0	0	105	3	0	18	0	0	58	0	1	84	0	3	22	0	0	5	0	0	47	8	0	27	0	0	105	0	0	32	0	0	6	0	0	86	0	0	68	0	0	31	0	0	30	0	0	25	1	0	101	0	0	138	1	0	14	0	0	65	0	0	150	3	80	0	0	361	0	0	75	0	1	1	0	0	36	0	0	21	0	0	23	0	0	30	0	0	108	0	0	90	0	0	18	0	0	138	0	0
"Cluster_41"	53	0	23	0	0	68	1	0	35	0	0	29	0	0	73	0	0	42	0	0	17	2	0	35	0	0	31	0	0	36	0	0	44	0	0	8	0	0	66	0	0	18	1	0	48	0	0	28	0	0	34	0	0	50	0	0	82	0	2	60	0	0	58	0	0	76	1	0	43	0	0	70	0	0	73	0	0	85	0	1	82	0	0	54	0	1	58	0	0	30	0	0	11	0	0	40	0	0	36	0	0	0	0	0	30	0	0	71	0	26	0	0	206	0	0	103	0	0	190	0	1	38	0	0	7	0	0	36	1	0	142	0	0	126	0	0	178	0	0	4	0	0	128	0	0
"Cluster_42"	138	0	201	0	0	253	0	0	63	0	1	59	0	0	48	1	0	5	0	0	30	0	0	129	0	0	34	0	0	104	0	0	102	0	0	80	0	0	159	0	0	282	0	0	79	0	0	31	0	0	54	0	0	82	0	0	59	0	1	44	0	0	87	0	0	89	2	0	163	0	0	91	0	0	304	0	0	101	0	0	63	0	0	93	0	0	485	0	0	35	0	0	34	0	0	29	0	0	61	0	1	0	0	0	68	0	0	35	0	229	0	0	19	0	0	14	0	2	220	0	0	0	0	0	92	0	0	37	0	0	54	0	0	46	0	0	110	0	0	2	0	0	83	0	0
"Cluster_47"	147	1	44	0	0	99	0	0	79	0	2	34	0	0	48	0	0	2	0	0	33	1	0	52	0	0	26	0	0	14	0	0	85	0	0	29	0	0	117	0	0	89	0	0	80	0	0	26	1	0	4	0	0	70	0	0	59	0	6	48	0	0	71	0	0	97	2	1	36	0	0	57	0	0	15	0	0	112	0	0	13	0	0	23	0	0	41	0	0	33	0	0	29	0	0	35	0	0	49	3	0	0	0	0	65	0	0	41	0	232	0	0	10	0	0	29	0	0	236	1	0	1	0	0	64	0	0	41	0	0	63	0	0	32	0	0	92	0	0	8	0	0	95	0	0
"Cluster_53"	79	1	71	1	0	103	0	0	176	0	0	15	0	0	389	0	0	2	0	0	121	0	0	40	0	0	116	0	0	9	1	0	35	0	1	19	0	0	53	0	0	41	0	0	30	0	0	85	0	0	50	0	0	63	0	0	145	0	2	118	0	0	77	0	0	41	0	0	25	0	0	47	0	0	70	0	1	139	0	0	13	0	0	51	0	0	10	0	0	75	0	0	20	0	0	88	0	0	165	4	0	0	0	0	205	0	1	160	0	0	0	0	125	0	0	99	0	0	202	0	0	4	0	0	8	0	1	31	0	0	165	0	0	138	0	0	47	0	0	9	0	0	80	0	0
"Cluster_30"	497	5	47	0	0	22	0	0	69	0	0	49	0	0	50	0	0	0	0	0	1	1	0	59	0	0	89	0	0	16	0	0	300	0	0	1	0	0	347	0	0	91	0	0	186	0	0	31	0	1	76	0	0	11	1	0	79	0	4	78	0	0	322	0	0	373	0	0	57	0	0	10	0	0	128	0	0	254	0	0	2	0	0	112	0	0	110	0	0	29	0	0	0	0	0	6	0	0	0	0	0	0	0	0	22	0	0	3	1	0	0	0	37	0	0	5	0	0	8	0	0	0	0	0	4	0	0	4	1	0	33	0	0	0	0	0	464	0	0	0	0	0	171	0	0
